ts,code,name,exchange,day_trade,category,reference,limit_up,limit_down,open,high,low,close,buy_price,sell_price,volume,total_amount
2026-07-07T22:10:33,1536,和大,TSE,DayTrade.Yes,12,53.1,58.4,47.8,54.5,54.7,50.8,51.2,51.2,51.3,3543,184709200.0
2026-07-07T22:10:33,1537,廣隆,TSE,DayTrade.Yes,05,126.5,139.0,114.0,126.0,126.5,125.5,126.0,125.5,126.0,43,5418500.0
2026-07-07T22:10:33,1538,正峰,TSE,DayTrade.No,05,10.7,11.75,9.63,10.8,10.8,10.5,10.5,10.5,10.95,11,117500.0
2026-07-07T22:10:33,1539,巨庭,TSE,DayTrade.Yes,05,16.1,17.7,14.5,16.3,16.3,15.85,15.85,15.85,15.95,146,2332500.0
2026-07-07T22:10:33,1540,喬福,TSE,DayTrade.Yes,05,22.8,25.05,20.55,23.05,23.05,22.3,22.6,22.5,22.65,396,8946850.0
2026-07-07T22:10:33,1541,錩泰,TSE,DayTrade.Yes,05,21.6,23.75,19.45,21.85,21.85,21.2,21.3,21.25,21.3,31,664150.0
2026-07-07T22:10:33,1558,伸興,TSE,DayTrade.Yes,05,92.8,102.0,83.6,92.8,92.8,92.3,92.6,92.6,92.7,66,6109900.0
2026-07-07T22:10:33,1560,中砂,TSE,DayTrade.Yes,05,745.0,819.0,671.0,745.0,752.0,699.0,700.0,700.0,702.0,903,648660000.0
2026-07-07T22:10:33,1563,巧新,TSE,DayTrade.Yes,12,71.0,78.1,63.9,70.2,72.9,69.8,70.5,70.4,70.5,3311,236366500.0
2026-07-07T22:10:33,1568,倉佑,TSE,DayTrade.Yes,12,37.5,41.25,33.75,37.75,37.75,33.75,34.25,34.25,34.3,1862,65379600.0
2026-07-07T22:10:33,1582,信錦,TSE,DayTrade.Yes,28,82.1,90.3,73.9,82.3,82.6,79.1,79.1,79.1,79.3,1160,93322400.0
2026-07-07T22:10:33,1583,程泰,TSE,DayTrade.Yes,05,50.2,55.2,45.2,51.1,51.3,49.25,49.25,49.45,49.85,23,1151900.0
2026-07-07T22:10:33,1587,吉茂,TSE,DayTrade.Yes,12,28.8,31.65,25.95,28.8,28.8,27.8,27.8,27.75,27.8,219,6182200.0
2026-07-07T22:10:33,1590,亞德客-KY,TSE,DayTrade.Yes,05,1385.0,1520.0,1250.0,1385.0,1410.0,1370.0,1380.0,1375.0,1380.0,691,957970000.0
2026-07-07T22:10:33,1597,直得,TSE,DayTrade.Yes,05,151.5,166.5,136.5,152.5,152.5,139.0,139.0,139.0,139.5,1418,203796000.0
2026-07-07T22:10:33,1598,岱宇,TSE,DayTrade.Yes,37,19.5,21.45,17.55,19.5,19.5,19.0,19.1,19.05,19.15,180,3448300.0
